web-scraper-order,items-links-href,Address,Price,Year,SqMtr,Rooms,Address-city,Code,Energy,Plot,Floors,Surface
1547461657-1774,https://www.funda.nl/koop/delft/huis-40906574-molukkenstraat-13/?navigateSource=resultlist,Molukkenstraat 13 2612 EC Delft,439000,1937,125,6,2612 EC Delft,2612,F,118,3,118
1547461606-1752,https://www.funda.nl/koop/delft/huis-40815430-willem-dreeslaan-26/?navigateSource=resultlist,Willem Dreeslaan 26 2623 JT Delft,295000,1988,120,5,2623 JT Delft,2623,C,125,3,125
1547461475-1695,https://www.funda.nl/koop/delft/huis-40870833-oliemolen-11/?navigateSource=resultlist,Oliemolen 11 2614 LH Delft,275000,2005,80,3,2614 LH Delft,2614,A,59,1,59
1547461670-1779,https://www.funda.nl/koop/delft/huis-40924705-burgemeestersrand-55/?navigateSource=resultlist,Burgemeestersrand 55 2625 NV Delft,550000,1998,164,5,2625 NV Delft,2625,B,228,3,228
1547461591-1746,https://www.funda.nl/koop/delft/huis-40075644-eliza-dorusstraat-9/?navigateSource=resultlist,Eliza Dorusstraat 9 2613 ED Delft,250000,1891,64,3,2613 ED Delft,2613,F,58,1,58
1547461696-1791,https://www.funda.nl/koop/delft/huis-40829268-hugo-de-grootstraat-250/?navigateSource=resultlist,Hugo de Grootstraat 250 2613 VB Delft,575000,1923,167,5,2613 VB Delft,2613,E,125,3,125
1547461548-1727,https://www.funda.nl/koop/delft/huis-40927572-bakemastraat-97-bwn-145/?navigateSource=resultlist,Bakemastraat 97 bwn 145 2628 ZS Delft,537500,2019,185,7,2628 ZS Delft,2628,A,62,1,62
1547461455-1687,https://www.funda.nl/koop/delft/huis-86364307-brasserskade-187/?navigateSource=resultlist,Brasserskade 187 2612 CD Delft,224000,1950,73,3,2612 CD Delft,2612,F,92,1,92
1547461470-1693,https://www.funda.nl/koop/delft/huis-40922260-de-kringloop-13/?navigateSource=resultlist,De Kringloop 13 2614 WG Delft,369000,1992,141,4,2614 WG Delft,2614,A,113,1,113
1547461561-1733,https://www.funda.nl/koop/delft/huis-40076843-tuinstraat-30/?navigateSource=resultlist,Tuinstraat 30 2613 RC Delft,250000,1880,56,3,2613 RC Delft,2613,D,83,1,83
1547461672-1780,https://www.funda.nl/koop/delft/huis-40944048-spoorsingel-59/?navigateSource=resultlist,Spoorsingel 59 2613 BA Delft,935000,1890,266,9,2613 BA Delft,2613,E,236,3,236
1547461685-1786,https://www.funda.nl/koop/delft/huis-40075241-sowetostraat-11/?navigateSource=resultlist,Sowetostraat 11 2622 LA Delft,345000,1991,131,6,2622 LA Delft,2622,C,137,3,137
1547461451-1685,https://www.funda.nl/koop/delft/huis-40493043-bouwnummer-bouwnr-14/?navigateSource=resultlist,Bouwnummer (Bouwnr 14) 2613 XP Delft,985000,2018,216,5,2613 XP Delft,2613,A,0,3,0
