web-scraper-order,items-links-href,Address,Address-city,Code,Price,Year,SqMtr,Rooms,Energy,Plot,Floors,Surface
1547469886-2785,https://www.funda.nl/koop/verkocht/delft/huis-86265141-burgemeestersrand-6/?navigateSource=resultlist,Burgemeestersrand 6 2625 NW Delft,2625 NW Delft,2625,290000,1999,112,5,B,171,1,171
1547469104-2628,https://www.funda.nl/koop/verkocht/delft/huis-40850443-wilhelminalaan-23/?navigateSource=resultlist,Wilhelminalaan 23 2625 LE Delft,2625 LE Delft,2625,345000,1971,131,5,D,192,1,192
1547468793-2567,https://www.funda.nl/koop/verkocht/delft/huis-86076496-breedkapper-17/?navigateSource=resultlist,Breedkapper 17 2614 SX Delft,2614 SX Delft,2614,280000,2011,80,3,A,107,1,107
1547469657-2739,https://www.funda.nl/koop/verkocht/delft/huis-40694239-annastraat-17/?navigateSource=resultlist,Annastraat 17 2611 VV Delft,2611 VV Delft,2611,575000,1883,176,6,D,118,1,118
1547469155-2638,https://www.funda.nl/koop/verkocht/delft/huis-40426467-klinkerbuurt-3-fase-1-bouwnr-122/?navigateSource=resultlist,Klinkerbuurt 3 fase 1 (Bouwnr. 122) 2628 ZR Delft,2628 ZR Delft,2628,447500,2018,166,6,A,654,1,0
1547468706-2550,https://www.funda.nl/koop/verkocht/delft/huis-40686071-van-der-heimstraat-23/?navigateSource=resultlist,Van der Heimstraat 23 2613 DZ Delft,2613 DZ Delft,2613,399000,1933,102,5,F,138,1,138
1547469229-2653,https://www.funda.nl/koop/verkocht/delft/huis-40426472-klinkerbuurt-3-fase-1-bouwnr-62/?navigateSource=resultlist,Klinkerbuurt 3 fase 1 (Bouwnr. 62) 2628 ZR Delft,2628 ZR Delft,2628,357000,2018,126,5,A,479,1,0
1547469411-2690,https://www.funda.nl/koop/verkocht/delft/huis-40524416-klinkerbuurt-3-fase-2-bouwnr-109/?navigateSource=resultlist,Klinkerbuurt 3 fase 2 (Bouwnr. 109) 2628 ZT Delft,2628 ZT Delft,2628,450000,2018,161,5,A,402,1,0
1547467651-2346,https://www.funda.nl/koop/verkocht/delft/huis-40421588-kwartelstraat-24/?navigateSource=resultlist,Kwartelstraat 24 2623 PG Delft,2623 PG Delft,2623,250000,1985,123,6,C,174,1,174
1547468168-2447,https://www.funda.nl/koop/verkocht/delft/huis-40523068-groenlandselaan-22/?navigateSource=resultlist,Groenlandselaan 22 2612 JM Delft,2612 JM Delft,2612,289500,1890,82,3,C,77,3,77
