Id,items-links-href,Address,Address-city,Price,Year,SqMtr,Rooms,Code
1547411074-1197,https://www.funda.nl/koop/verkocht/delft/huis-86175192-beverhof-15/?navigateSource=resultlist,Beverhof 15,2623 EP Delft,"300,000",1978,113,5,2623
1547411854-1370,https://www.funda.nl/koop/verkocht/delft/huis-40426480-klinkerbuurt-3-fase-1-bouwnr-70/?navigateSource=resultlist,Klinkerbuurt 3 phase 1 (Building No. 70),2628 ZR Delft,"373,000",2018,126,5,2628
1547412066-1415,https://www.funda.nl/koop/verkocht/delft/huis-40524429-klinkerbuurt-3-fase-2-bouwnr-94/?navigateSource=resultlist,Klinkerbuurt 3 phase 2 (Building No. 94),2628 ZT Delft,"363,000",2018,126,4,2628
1547408973-737,https://www.funda.nl/koop/verkocht/delft/huis-40574760-van-saenredamstraat-22/?navigateSource=resultlist,Van Saenredamstraat 22,2613 NT Delft,"259,000",1935,83,4,2613
1547411019-1185,https://www.funda.nl/koop/verkocht/delft/appartement-49086114-bouwnummer-bouwnr-2/?navigateSource=resultlist,Building number (Building No. 2),2613 SS Delft,"401,855",2018,110,4,2613
1547407917-505,https://www.funda.nl/koop/verkocht/delft/huis-49389522-dirklangenstraat-47/?navigateSource=resultlist,Dirklangenstraat 47,2611 HV Delft,"400,000",1930,162,6,2611
1547407761-470,https://www.funda.nl/koop/verkocht/delft/appartement-40405099-oostblok-108/?navigateSource=resultlist,Eastern block 108,2612 PE Delft,"116,000",1958,49,3,2612
1547411925-1386,https://www.funda.nl/koop/verkocht/delft/appartement-40662290-bouwnummer-bouwnr-234/?navigateSource=resultlist,Building number (Building No. 234),2611 BV Delft,"193,000",2018,37,1,2611
1547411340-1256,https://www.funda.nl/koop/verkocht/delft/appartement-40662207-bouwnummer-bouwnr-333/?navigateSource=resultlist,Building number (Building No. 333),2611 BV Delft,"199,000",2018,37,1,2611
1547407711-459,https://www.funda.nl/koop/verkocht/delft/huis-40402657-hoornsestraat-31/?navigateSource=resultlist,Hoornsestraat 31,2613 PC Delft,"309,000",1940,86,4,2613
1547408618-660,https://www.funda.nl/koop/verkocht/delft/huis-49301291-willemstraat-13/?navigateSource=resultlist,Willemstraat 13,2613 DR Delft,"227,500",1906,89,4,2613
