Id,Address,Price,Year,SqMtr,Rooms,Address-city,Code,pricePerM
1547392552-264,Aart van der Leeuwlaan 1096 2624 MB Delft,"220,000",1972,118,5,2624 MB Delft,2624,1864.40678
1547392230-183,Dirk Costerplein 269 2624 VC Delft,"120,700",1965,64,4,2624 VC Delft,2624,1885.9375
1547392598-279,Dirk Costerplein 59 2624 TR Delft,"121,125",1965,64,4,2624 TR Delft,2624,1892.578125
1547392595-278,Dirk Costerplein 157 2624 TW Delft,"121,125",1966,64,3,2624 TW Delft,2624,1892.578125
1547392604-281,Mahlerstraat 26 2625 AS Delft,"274,500",1974,140,6,2625 AS Delft,2625,1960.714286
1547392777-335,Zjoekowlaan 53 2625 PK Delft,"187,500",1973,94,3,2625 PK Delft,2625,1994.680851
1547392783-337,Roland Holstlaan 908 2624 JK Delft,"219,500",1967,110,5,2624 JK Delft,2624,1995.454545
1547392745-325,Antoon Coolenlaan 49 2624 NW Delft,"385,000",1969,190,7,2624 NW Delft,2624,2026.315789
1547392691-307,Roland Holstlaan 815 2624 KB Delft,"195,000",1967,96,4,2624 KB Delft,2624,2031.25
1547392262-191,Schubertlaan 236 2625 WC Delft,"116,875",1983,57,2,2625 WC Delft,2625,2050.438596
1547392590-276,Dirk Costerplein 264 2624 VC Delft,"133,875",1969,64,3,2624 VC Delft,2624,2091.796875
1547392967-397,Lagosweg 29 31 2622 CZ Delft,"485,000",1997,231,8,2622 CZ Delft,2622,2099.5671
1547392760-329,Delfgauwseweg 86 2628 EV Delft,"385,000",1938,176,6,2628 EV Delft,2628,2187.5
1547392388-219,Council of Europalaan 9 2625 PA Delft,"449,000",1998,204,5,2625 PA Delft,2625,2200.980392
1547392543-261,Jacoba van Beierenlaan 193 2613 JG Delft,"235,000",1961,106,6,2613 JG Delft,2613,2216.981132
1547392306-201,JJ Slauerhofflaan 1 2624 JV Delft,"239,000",1971,104,4,2624 JV Delft,2624,2298.076923
1547392842-357,Antoon Coolenlaan 13 2624 NV Delft,"400,000",1969,173,7,2624 NV Delft,2624,2312.138728
1547392443-230,Decimastraat 12 2622 JZ Delft,"345,000",1988,149,5,2622 JZ Delft,2622,2315.436242
1547392631-289,Third World Dreef 154 2622 HH Delft,"139,500",1986,60,2,2622 HH Delft,2622,2325
1547392222-181,Aagje Dekenlaan 22 2624 CC Delft,"222,500",1966,95,5,2624 CC Delft,2624,2342.105263
1547392725-318,Roland Holstlaan 797 2624 KB Delft,"179,000",1967,76,3,2624 KB Delft,2624,2355.263158
1547392563-268,Troelstralaan 234 2624 GB Delft,"250,000",1991,105,4,2624 GB Delft,2624,2380.952381
1547392546-262,Van der Kamlaan 65 2625 KN Delft,"270,000",1969,113,4,2625 KN Delft,2625,2389.380531
1547392322-205,Kuifeendhof 16 2623 NS Delft,"227,500",1980,95,4,2623 NS Delft,2623,2394.736842
1547392234-184,Van der Lelijstraat 55 1 2614 EE Delft,"195,000",1959,81,4,2614 EE Delft,2614,2407.407407
1547392682-304,Willem Dreeslaan 26 2623 JT Delft,"295,000",1988,120,5,2623 JT Delft,2623,2458.333333
1547392286-196,Van der Lelijstraat 51 2614 EE Delft,"195,000",1957,79,5,2614 EE Delft,2614,2468.35443
1547392366-214,Ivory Coast 1 2622 GL Delft,"495,000",1993,200,6,2622 GL Delft,2622,2475
1547392576-271,Eisenhowerlaan 10 2625 GJ Delft,"309,000",1971,124,5,2625 GJ Delft,2625,2491.935484
1547392867-364,Aart van der Leeuwlaan 962 2624 LZ Delft,"225,000",1972,90,3,2624 LZ Delft,2624,2500
1547392626-288,Palmyraplaats 94 2624 NN Delft,"289,000",2012,115,4,2624 NN Delft,2624,2513.043478
1547392984-403,Amazoneweg 24 2622 DS Delft,"300,000",1993,118,5,2622 DS Delft,2622,2542.372881
1547392731-320,Verwersdijk 180 2611 NN Delft,"895,000",1960,352,7,2611 NN Delft,2611,2542.613636
1547392688-306,Isaäk Hoornbeekstraat 62 2613 HJ Delft,"189,000",1929,74,4,2613 HJ Delft,2613,2554.054054
1547392820-349,Ternatestraat 34 2612 BG Delft,"350,000",1936,137,4,2612 BG Delft,2612,2554.744526
1547392892-372,Guineelaan 30 2622 DJ Delft,"300,000",1989,117,6,2622 DJ Delft,2622,2564.102564
1547392587-275,Water block 29 2612 KW Delft,"170,000",1982,65,3,2612 KW Delft,2612,2615.384615
1547392254-189,De Kringloop 13 2614 WG Delft,"369,000",1992,141,4,2614 WG Delft,2614,2617.021277
1547392265-192,Hof van Delftlaan 72 2613 BP Delft,"239,000",1932,91,4,2613 BP Delft,2613,2626.373626
1547392854-360,Sowetostraat 11 2622 LA Delft,"345,000",1991,131,6,2622 LA Delft,2622,2633.587786
1547392435-228,Hof van Zilverlicht 89 2614 TV Delft,"285,000",1994,108,4,2614 TV Delft,2614,2638.888889
1547392258-190,Sandinoweg 37 2622 DV Delft,"300,000",1993,113,5,2622 DV Delft,2622,2654.867257
1547392242-186,Julianalaan 21 2628 BB Delft,"324,500",1930,122,5,2628 BB Delft,2628,2659.836066
1547392420-225,Indiastraat 12 2622 GH Delft,"285,000",1984,107,5,2622 GH Delft,2622,2663.551402
1547392250-188,Boliviastraat 19 2622 BK Delft,"299,000",1982,112,6,2622 BK Delft,2622,2669.642857
1547392279-194,Apolloweg 73 2624 MZ Delft,"195,000",1991,73,3,2624 MZ Delft,2624,2671.232877
1547392870-365,Van Blommesteinstraat 4 A 2614 ER Delft,"215,000",1959,80,4,2614 ER Delft,2614,2687.5
1547392493-244,Antonia Veerstraat 14 2614 HV Delft,"285,000",1988,106,4,2614 HV Delft,2614,2688.679245
1547392416-224,Bosboom-Toussaintplein 264 2624 DR Delft,"175,000",1970,65,3,2624 DR Delft,2624,2692.307692
1547392926-383,Court of Emerald 9 2614 TN Delft,"350,000",1994,129,6,2614 TN Delft,2614,2713.178295
1547392751-327,Marterstraat 35 2623 ED Delft,"335,000",1977,123,5,2623 ED Delft,2623,2723.577236
1547392326-206,Van der Kamlaan 87 2625 KP Delft,"298,000",1969,109,5,2625 KP Delft,2625,2733.944954
1547392198-176,Van Adrichemstraat 1 2614 BJ Delft,"85,000",1965,31,2,2614 BJ Delft,2614,2741.935484
1547392748-326,Israëllaan 36 2622 HP Delft,"310,000",1987,113,5,2622 HP Delft,2622,2743.362832
